id,sentiment,text,scores,compound,pos,neu,neg,Predicted_Sentiment
11,Negative,@JGreenDC @realDonaldTrump In all fairness #BillClinton owns that phrase.#GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
12,Positive,"RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate 

Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}",0.6369,0.198,0.802,0.0,Positive
13,Negative,Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",0.6249,0.272,0.728,0.0,Positive
14,Neutral,"RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9""","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,0.245,0.755,0.0,Positive
15,Positive,RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.765}",0.765,0.306,0.694,0.0,Positive
16,Negative,Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate,"{'neg': 0.308, 'neu': 0.549, 'pos': 0.143, 'compound': -0.5994}",-0.5994,0.143,0.549,0.308,Negative
17,Negative,RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.34}",-0.34,0.0,0.876,0.124,Negative
18,Negative,RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
19,Negative,reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate,"{'neg': 0.081, 'neu': 0.808, 'pos': 0.112, 'compound': 0.2023}",0.2023,0.112,0.808,0.081,Positive
20,Negative,"RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4215}",0.4215,0.128,0.872,0.0,Positive
21,Positive,"RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3802}",0.3802,0.191,0.809,0.0,Positive
22,Negative,RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”,"{'neg': 0.146, 'neu': 0.625, 'pos': 0.229, 'compound': 0.2481}",0.2481,0.229,0.625,0.146,Positive
23,Negative,RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate,"{'neg': 0.517, 'neu': 0.483, 'pos': 0.0, 'compound': -0.9433}",-0.9433,0.0,0.483,0.517,Negative
24,Neutral,RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
25,Negative,RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…,"{'neg': 0.262, 'neu': 0.664, 'pos': 0.074, 'compound': -0.7264}",-0.7264,0.074,0.664,0.262,Negative
26,Negative,"#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson.","{'neg': 0.215, 'neu': 0.785, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0.0,0.785,0.215,Negative
27,Negative,RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…,"{'neg': 0.449, 'neu': 0.491, 'pos': 0.06, 'compound': -0.9062}",-0.9062,0.06,0.491,0.449,Negative
28,Negative,"RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…","{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.631}",-0.631,0.0,0.853,0.147,Negative
29,Negative,RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””,"{'neg': 0.146, 'neu': 0.625, 'pos': 0.229, 'compound': 0.2481}",0.2481,0.229,0.625,0.146,Positive
30,Negative,RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",0.3612,0.135,0.865,0.0,Positive
31,Negative,@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.3005}",-0.3005,0.0,0.895,0.105,Negative
32,Negative,RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …,"{'neg': 0.239, 'neu': 0.683, 'pos': 0.078, 'compound': -0.6369}",-0.6369,0.078,0.683,0.239,Negative
33,Neutral,The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
34,Neutral,#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
35,Negative,RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0.0,0.8,0.2,Negative
36,Negative,"RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…","{'neg': 0.094, 'neu': 0.727, 'pos': 0.179, 'compound': 0.4574}",0.4574,0.179,0.727,0.094,Positive
37,Negative,"RT @stockwizards3: Trump/Carson ticket would win in a landslide...
@realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …","{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.5859}",0.5859,0.226,0.774,0.0,Positive
38,Negative,"RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…","{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.7549}",-0.7549,0.0,0.728,0.272,Negative
39,Negative,"RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …","{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.2235}",-0.2235,0.0,0.924,0.076,Negative
40,Neutral,RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",0.4215,0.177,0.823,0.0,Positive
41,Negative,RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
42,Negative,"RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
43,Neutral,"RT @RowdyGentleman: If you’re planning out a #GOPDebate drinking game right now, you’re a Rowdy Gentleman.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
44,Negative,RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.4648}",0.4648,0.336,0.664,0.0,Positive
45,Negative,"Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate","{'neg': 0.372, 'neu': 0.628, 'pos': 0.0, 'compound': -0.8074}",-0.8074,0.0,0.628,0.372,Negative
46,Negative,"RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter 

http://t.co/8ZGdY6lPCT","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
47,Neutral,RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate,"{'neg': 0.0, 'neu': 0.902, 'pos': 0.098, 'compound': 0.3612}",0.3612,0.098,0.902,0.0,Positive
48,Neutral,RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
49,Positive,“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}",0.4404,0.146,0.854,0.0,Positive
50,Negative,"RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers","{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6908}",-0.6908,0.0,0.773,0.227,Negative
51,Neutral,RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO,"{'neg': 0.252, 'neu': 0.491, 'pos': 0.258, 'compound': 0.0258}",0.0258,0.258,0.491,0.252,Neutral
52,Positive,"RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
53,Negative,"RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…","{'neg': 0.207, 'neu': 0.7, 'pos': 0.093, 'compound': -0.5759}",-0.5759,0.093,0.7,0.207,Negative
54,Negative,@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.872,0.128,Negative
55,Negative,"RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.1655}",0.1655,0.08,0.92,0.0,Positive
56,Negative,"RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.4641}",0.4641,0.159,0.841,0.0,Positive
57,Negative,RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.5719}",-0.5719,0.0,0.709,0.291,Negative
58,Negative,RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.5187}",-0.5187,0.0,0.828,0.172,Negative
59,Negative,"RT @mydaughtersarmy: Dear GOP,
If you want to stop abortions... 

#GOPDebate 
http://t.co/RbL1t4iPx6","{'neg': 0.146, 'neu': 0.596, 'pos': 0.258, 'compound': 0.1779}",0.1779,0.258,0.596,0.146,Positive
60,Positive,"RT @KarrattiPaul: Join ISIS and sign your death warrant,
Signed @tedcruz next President of the US󾓦

#GOPDebate #WakeUpAmerica #CruzCrew htt…","{'neg': 0.162, 'neu': 0.747, 'pos': 0.091, 'compound': -0.4019}",-0.4019,0.091,0.747,0.162,Negative
61,Negative,RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
62,Negative,"RT @AmyMek: Status 👉 Single 

I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.

#GOPDebate http://t.…","{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4753}",-0.4753,0.0,0.846,0.154,Negative
63,Positive,"RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.

After, only 3 saw him positively.  http://…","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.7579}",0.7579,0.255,0.745,0.0,Positive
64,Positive,"RT @_Holly_Renee: Just made my first donation to @CarlyFiorina.
So impressed by her #GOPDebate performance.
#Fiorina http://t.co/JLfhFvZ7ST","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.5256}",0.5256,0.175,0.825,0.0,Positive
65,Negative,RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate,"{'neg': 0.094, 'neu': 0.851, 'pos': 0.055, 'compound': -0.2263}",-0.2263,0.055,0.851,0.094,Negative
66,Neutral,RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
67,Neutral,RT @JohnKasich: Scrap the President's Iran deal. Iran can’t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
68,Neutral,Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
69,Positive,"RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.

And they vote. 

That should scare eve…","{'neg': 0.139, 'neu': 0.783, 'pos': 0.078, 'compound': -0.34}",-0.34,0.078,0.783,0.139,Negative
70,Negative,"RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…","{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.3412}",0.3412,0.107,0.893,0.0,Positive
71,Negative,"Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7","{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.673}",0.673,0.216,0.784,0.0,Positive
72,Negative,"RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…","{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.4939}",0.4939,0.127,0.873,0.0,Positive
73,Negative,"RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC""","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,0.245,0.755,0.0,Positive
74,Positive,@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
75,Negative,"The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate","{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.91}",-0.91,0.0,0.566,0.434,Negative
76,Positive,"RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.5994}",0.5994,0.224,0.776,0.0,Positive
77,Negative,"RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",0.3182,0.103,0.897,0.0,Positive
78,Negative,RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
79,Negative,RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate,"{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}",-0.6249,0.0,0.773,0.227,Negative
80,Neutral,"RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate
htt…","{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.0498}",-0.0498,0.0,0.951,0.049,Neutral
81,Negative,"RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …","{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.6908}",-0.6908,0.0,0.824,0.176,Negative
82,Negative,Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night.,"{'neg': 0.059, 'neu': 0.753, 'pos': 0.188, 'compound': 0.4767}",0.4767,0.188,0.753,0.059,Positive
83,Positive,RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}",0.6249,0.291,0.709,0.0,Positive
84,Positive,"RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.5574}",-0.5574,0.0,0.854,0.146,Negative
85,Neutral,RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
86,Neutral,RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.1531}",-0.1531,0.0,0.918,0.082,Negative
87,Negative,"They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP 
http://t.co/ekXPfKtHQn","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
88,Negative,RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…,"{'neg': 0.137, 'neu': 0.863, 'pos': 0.0, 'compound': -0.4003}",-0.4003,0.0,0.863,0.137,Negative
89,Negative,RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…,"{'neg': 0.177, 'neu': 0.677, 'pos': 0.146, 'compound': -0.1531}",-0.1531,0.146,0.677,0.177,Negative
90,Neutral,A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4588}",0.4588,0.2,0.8,0.0,Positive
91,Positive,"Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate","{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.8885}",0.8885,0.396,0.604,0.0,Positive
92,Negative,RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…,"{'neg': 0.096, 'neu': 0.789, 'pos': 0.114, 'compound': 0.1027}",0.1027,0.114,0.789,0.096,Positive
93,Positive,RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7609}",0.7609,0.367,0.633,0.0,Positive
94,Positive,RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
95,Negative,"RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…","{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.7226}",-0.7226,0.0,0.759,0.241,Negative
96,Negative,RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.4588}",0.4588,0.188,0.812,0.0,Positive
97,Neutral,"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""","{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.3818}",0.3818,0.245,0.755,0.0,Positive
98,Negative,RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
99,Negative,RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
100,Negative,"RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.6369}",-0.6369,0.0,0.822,0.178,Negative
101,Neutral,"RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKr…","{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.6705}",-0.6705,0.0,0.776,0.224,Negative
102,Positive,Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.6249}",0.6249,0.339,0.661,0.0,Positive
103,Negative,"RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …","{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4939}",0.4939,0.132,0.868,0.0,Positive
104,Negative,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,Neutral
105,Neutral,I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.2732}",0.2732,0.104,0.896,0.0,Positive
106,Negative,"RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT","{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.6329}",-0.6329,0.0,0.73,0.27,Negative
107,Positive,"RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C","{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",0.2732,0.11,0.89,0.0,Positive
108,Positive,Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.6124}",0.6124,0.278,0.722,0.0,Positive
